film,rating,date,liked,log_date,country,studio,primary_language,genres,director,actors
Mad Max: Fury Road,10,2015,true,2024-05-24,Australia,Warner Bros. Pictures,English,"['Adventure', 'Science Fiction', 'Action']",George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman', 'Nathan Jones', 'Zoë Kravitz', 'Rosie Huntington-Whiteley', 'Riley Keough', 'Abbey Lee', 'Courtney Eaton', 'John Howard', 'Richard Carter', 'Iota', 'Angus Sampson', 'Jennifer Hagan', 'Megan Gale', 'Melissa Jaffer', 'Melita Jurišić', 'Gillian Jones', 'Joy Smithers', 'Antoinette Kellerman', 'Christina Koch', 'Jon Iles', 'Quentin Kenihan', 'Coco Jack Gillies', 'Chris Patton', 'Stephen Dunlevy', 'Richard Norton', 'Vincent Roxburgh', 'John Walton', 'Ben Smith-Petersen', 'Russ McCarroll', 'Judd Wild', 'Elizabeth Cunico', 'Greg Van Borssum', 'Robert Jones', 'Sebastian Dickins', 'Darren Mitchell', 'Crusoe Kurddal', 'Shyan Tonga', 'Cass Cumerford', 'Albert Lee', 'Riley Paton', 'Ripley Voeten', 'Maycn Van Borssum', 'Hunter Stratton Boland', 'Nathan Jenkins', 'Fletcher Gill', 'Whiley Toll', 'Ferdinand Hengombe', 'Gadaffi Davsab', 'Noddy Alfred', 'Jackson Hengombe', 'Christian Fane', 'Callum Gallagher', 'Abel Hofflin', 'Lee Perry', 'Hiroshi Kasuga']"
Furiosa: A Mad Max Saga,8,2024,false,2024-05-21,Australia,Warner Bros. Pictures,English,"['Science Fiction', 'Adventure', 'Action']",George Miller,"['Anya Taylor-Joy', 'Chris Hemsworth', 'Tom Burke', 'Alyla Browne', 'George Shevtsov', 'Lachy Hulme', 'John Howard', 'Angus Sampson', 'Charlee Fraser', 'Elsa Pataky', 'Nathan Jones', 'Josh Helman', 'David Field', 'Rahel Romahn', 'David Collins', 'Goran D. Kleut', 'CJ. Bloomfield', 'Matuse Paz', 'Ian Roberts', 'Guy Spence', 'Robert Jones', 'Clarence John Ryan', 'Tim Burns', 'Tim Rogers', 'Florence Mezzara', 'Quaden Bayles', 'Peter Stephens', 'Sean Millis', 'Lee Perry', 'Dylan Adonis', 'David Barnett', 'Anna Adams', 'Peter Sammak', 'Shea Adams', 'Josh Randall', 'Karl Van Moorsel', 'Dawn Klingberg', 'Richard Norton', 'Stephen Amadasun', 'Nick Annas', 'Ripley Voeten', 'Matthew Van Leeve', 'Shane Dundas', 'Jamie Cluff', 'Adam Thompson', 'Shyan Tonga', 'Nellie Collins', 'Adam Washbourne', 'James Corcoran', 'Sasa Vitanovic', 'Tige Sixel Miller', 'Justice Jones', 'Maleeka Gasbarri', 'Keza Ishimwe', 'Nat Buchanan', 'Jacob Tomuri', 'Mark Wales', 'Bryan Probets', 'Danny Lim', 'Darcy Bryce', 'Chudier Gatwech', 'Shivantha Wijesinha', 'Spencer Connelly', 'Ben Smith-Petersen', 'Toby Fuller', 'Jayden Irving', 'Jesse Turner', 'Jon Iles', 'Harrison Norris', 'Ash Hodgkinson', 'Sean Renfrey', 'Xanthia Marinelli', 'Alex Time', 'Daniel Webber', 'Yeye Zhou', 'Nikos Andronicos', 'Kelli Bailey', 'Marcia Coronado', 'Matt De Souza', 'Hiroshi Kasuga', 'Shakriya Tarinyawat', 'Chong Wei Zhang']"
The Hand,7,2020,true,2024-05-19,Hong Kong,Block 2 Pictures,Chinese,"['Drama', 'Romance']",Wong Kar-wai,"['Chang Chen', 'Gong Li', 'Tien Feng', 'Chan Chun-Luk', 'Zhou Jianjun']"
Happy Together,6,1997,false,2024-05-17,Hong Kong,Jet Tone Production,Cantonese,"['Romance', 'Drama']",Wong Kar-wai,"['Tony Leung Chiu-wai', 'Leslie Cheung', 'Chang Chen', 'Gregory Dayton']"
Evil Does Not Exist,5,2023,false,2024-05-14,Japan,Neopa,Japanese,['Drama'],Ryūsuke Hamaguchi,"['Hitoshi Omika', 'Ryo Nishikawa', 'Ryuji Kosaka', 'Ayaka Shibutani', 'Hazuki Kikuchi', 'Hiroyuki Miura', 'Yoshinori Miyata', 'Yûto Torii', 'Takako Yamamura', 'Takuma Nagao', 'Taijirō Tamura']"
War for the Planet of the Apes,8,2017,false,2024-05-12,USA,20th Century Fox,English,"['War', 'Drama', 'Science Fiction']",Matt Reeves,"['Andy Serkis', 'Woody Harrelson', 'Karin Konoval', 'Terry Notary', 'Steve Zahn', 'Amiah Miller', 'Ty Olsson', 'Michael Adamthwaite', 'Toby Kebbell', 'Gabriel Chavarria', 'Sara Canning', 'Judy Greer', 'Devyn Dalton', 'Aleks Paunovic', 'Alessandro Juliani', 'Max Lloyd-Jones', 'Timothy Webber', 'Lauro David Chartrand-DelValle', 'Shaun Omaid', 'Roger Cross', 'Mercedes de la Zerda', 'Doug Chapman', 'James Pizzinato', 'Chad Rook', 'Dean Redman', 'Steve Baran', 'Sandy Robson', 'Levi Meaden', 'Billy Wickman', 'Albert Nicholas', 'Kyle Horton', 'Paul Luongo', 'Thomas Potter', 'Mathew Yanagiya', 'Skye Notary', 'Willow Notary', 'Finn Notary', 'Phoenix Notary', 'Sadie Aperlo', 'Matilda Aperlo', 'Andrew Alexander Reeves']"
Dawn of the Planet of the Apes,9,2014,true,2024-05-12,UK,TSG Entertainment,English,"['Action', 'Science Fiction', 'Thriller', 'Drama']",Matt Reeves,"['Andy Serkis', 'Jason Clarke', 'Toby Kebbell', 'Gary Oldman', 'Keri Russell', 'Kodi Smit-McPhee', 'Nick Thurston', 'Karin Konoval', 'Terry Notary', 'Doc Shaw', 'Judy Greer', 'Lee Ross', 'Richard King', 'Scott Lang', 'Kirk Acevedo', 'Jon Eyez', 'Enrique Murciano', ""Keir O'Donnell"", 'Kevin Rankin', 'Jocko Sims', 'Al Vicente', 'Matthew James', 'Deneen Tyler', 'Mustafa Harris', 'Lombardo Boyar', 'Mike Seal', 'J.D. Evermore', 'Chase Boltin', 'Michael Papajohn', 'Thomas Rosales Jr.', 'Carol Sutton', 'Christopher Berry', 'Sergio Kato', 'Michael Bloomberg', 'John L. Armijo', 'Joe Bravo', ""Steve D'Assis"", 'Mike R. Moreau', 'Jazzy Ellis', 'Lucky Johnson', 'Allyson Leigh Jordan', 'Angela Kerecz', 'Bobby Kerecz', 'Anthony A. Kung', 'John R Mangus', 'John Parsons', 'Mel Powell', 'Carl Joseph Schreiber', 'Timothy Wyant', 'Lynnanne Zager', 'Barack Obama']"
Rise of the Planet of the Apes,8,2011,true,2024-05-12,UK,Dune Entertainment,English,"['Thriller', 'Science Fiction', 'Action', 'Drama']",Rupert Wyatt,"['Andy Serkis', 'James Franco', 'Freida Pinto', 'John Lithgow', 'Brian Cox', 'Tom Felton', 'Tyler Labine', 'Karin Konoval', 'Terry Notary', 'Christopher Gordon', 'Richard Ridings', 'Devyn Dalton', 'Jay Caputo', 'David Hewlett', 'David Oyelowo', 'Jamie Harris', 'Ty Olsson', 'Joey Roche', 'Madison Bell', 'Makena Joy', ""Kevin O'Grady"", 'Sean Tyson', 'Kyle Riefsnyder', 'Anthony McRae', 'Jesse Reid', 'BJ Harrison', 'Leah Gibson', 'Tracy Spiridakos', 'Ivan Wanis-Ruiz', 'Trevor Carroll', 'Chelah Horsdal', 'Mattie Hawkinson', 'James Pizzinato', 'Ryan Jefferson Booth', 'Gordon Douglas Myren', 'Elizabeth Weinstein', 'Jeb Beach', 'Jack Kuris', 'Meredith Grantier', 'Javier Caballero Cano', 'Peter Bundic', 'Dylan Nouri', 'Derek Morrison', 'Dean Redman', 'Hector Johnson', 'David Richmond-Peck', 'Adrian Hough', 'Evans Johnson', 'Qayam Devji', 'Riel Hahn', 'Michael Kopsa', 'Steve Lawlor', 'Chris Shields', 'Sandy Robson', 'Mike Dopud', 'Stacey Schmidt', 'Willy Miles', 'Adrian Hein', 'Trevor Addie', 'Jeffery Aro', 'Trevor Jones', 'Camille Atebe', 'Rufus Dorsey', 'Sonja Bennett', 'Loyd Bateman', 'Tom Franco', 'Scott Lang', 'Matteo Mariotti', 'Kis Yurij', 'Frédéric North', 'Sean Connor Roche', 'Luc Roderique', 'Lauren Watson', 'Timothy Webber', 'Linda Watters', 'Monica Mustelier']"
Fallen Angels,9,1995,true,2024-05-10,Hong Kong,Jet Tone Production,Cantonese,"['Crime', 'Romance', 'Action']",Wong Kar-wai,"['Leon Lai', 'Charlie Yeung', 'Takeshi Kaneshiro', 'Karen Mok Man-Wai', 'Michelle Reis', 'Chan Man-Lei', 'Toru Saito', 'Benz Kong To-Hoi', 'Chan Fai-hung', 'Kwan Lee-na', 'Wu Yuk-Ho', 'Johnnie Kong', 'Chun Kang Wang', 'Mak Shu-San', 'Choi Kwok-Ping', 'Chan Siu-Wah', 'Chow Gam-Kong', 'Leung Shing-Hung', 'Wong Kim-Wai', 'Wong Kim-Bun', 'Choi Kwok-Keung', 'Lee Tat-Chiu', 'Cheung Chi-Ping']"
Zodiac,8,2007,false,2024-05-09,USA,Paramount Pictures,English,"['Drama', 'Crime', 'Thriller', 'Mystery']",David Fincher,"['Jake Gyllenhaal', 'Mark Ruffalo', 'Anthony Edwards', 'Robert Downey Jr.', 'Chloë Sevigny', 'Elias Koteas', 'John Carroll Lynch', 'Brian Cox', 'Dermot Mulroney', 'Charles Fleischer', 'Zach Grenier', 'Philip Baker Hall', 'James Le Gros', 'Donal Logue', 'Richmond Arquette', 'Bob Stephenson', 'John Lacy', 'Ed Setrakian', 'John Getz', 'John Terry', 'Candy Clark', 'June Diane Raphael', 'Ciara Hughes', 'Lee Norris', 'Patrick Scott Lewis', 'Pell James', 'David Lee Smith', 'Jason Wiles', 'Charles Schneider', 'James Carraway', 'Tom Verica', 'Jimmi Simpson', 'Doan Ly', 'Karina Logue', 'Joel Bissonnette', 'John Mahon', 'Matt Winston', 'Jules Bruff', 'John Ennis', 'J. Patrick McCormack', 'Adam Goldberg', 'Clea DuVall', 'Paul Schulze', 'Adam Trese', 'Penny Wallace', 'John Hemphill', 'Michel Francoeur', 'Thomas Kopache', 'Barry Livingston', 'Christopher John Fields', 'Jack Samson', 'Micah Sauers', 'Zachary Sauers', 'Jessica Baltutis', 'Peter Quartaroli', 'Geoff Callan', 'Michael Hungerford', 'Anna Katarina', 'E.P. McKnight', 'Betty Murphy', 'Jeff Daniel Phillips', 'Shane Woodson', 'Cookie Crawford', 'Cassius M. Willis', 'Judith Drake', 'Phoebe Holston', 'Marty Lodge', 'Cooper Thornton', 'Cazimir Milostan', 'Charlotte Ferguson', 'Phoebe Ferguson', 'Kacey Malmsten', 'Karly Malmsten', 'JD Cullum', 'Stanley B. Herman', 'Roy Lee Jones', 'Michael Rose', ""James Joseph O'Neil"", 'Rod Damer', 'John Sarno', 'Gloria Grant', 'Brett Rickaby', 'M.F. Bernier', 'Carter Evans', 'Bill Seward', 'Dave Nemeth', 'Ted Garcia', 'Greg Wolf', 'Barry LeBrock', 'Ione Skye', 'David Winston Barge', 'Hayati Akbas', 'Brad Carr', 'Mitchell Fink', 'Erica Ford', 'Tish Hicks', 'Danielle McKee', 'Derris Nile', 'Carmen Plumb', 'Callie Thompson', 'Bud Davis']"
Return of the Jedi,8,1983,false,2024-05-08,USA,Lucasfilm Ltd.,English,"['Action', 'Science Fiction', 'Adventure']",Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'Peter Mayhew', 'Sebastian Shaw', 'Ian McDiarmid', 'Frank Oz', 'James Earl Jones', 'David Prowse', 'Alec Guinness', 'Kenny Baker', 'Michael Pennington', 'Kenneth Colley', 'Michael Carter', 'Denis Lawson', 'Tim Rose', 'Dermot Crowley', 'Caroline Blakiston', 'Warwick Davis', 'Jeremy Bulloch', 'Femi Taylor', 'Annie Arbogast', 'Claire Davenport', 'Jack Purvis', 'Mike Edmonds', 'Jane Busby', 'Malcolm Dixon', 'Mike Cottrell', 'Nicki Reade', 'Adam Bareham', 'Jonathan Oliver', 'Pip Miller', 'Tom Mannion', 'Margo Apostolos', 'Ray Armstrong', 'Eileen Baker', 'Michael Henbury Ballan', 'Bobby Bell', 'Patty Bell', 'Alan Bennett', 'Sarah Bennett', 'Pamela Betts', 'Danny Blackner', 'Linda Bowley', 'Peter Burroughs', 'Debbie Lee Carrington', 'Maureen Charlton', 'Willie Coppen', 'Sadie Corre', 'Tony Cox', 'John Cumming', ""Jean D'Agostino"", 'Luis De Jesus', 'Debbie Dixon', 'Margarita Fernández', 'Phil Fondacaro', 'Sal Fondacaro', 'Tony Friel', 'Daniel Frishman', 'John Ghavan', 'Michael Gilden', 'Paul Grant', 'Lydia Green', 'Lars Green', 'Pam Grizz', 'Andrew Herd', 'J.J. Jackson', 'Richard Jones', 'Trevor Jones', 'Glynn Jones', 'Karen Lay', 'John Lummiss', 'Nancy MacLean', 'Peter Mandell', 'Carole Morris', 'Stacie Nichols', 'Chris Nunn', ""Barbara O'Laughlin"", 'Brian Orenstein', 'Harrell Parker Jr.', 'John Pedrick', 'April Perkins', 'Ronnie Phillips', 'Katie Purvis', 'Carol Read', 'Nicholas Read', 'Diana Reynolds', 'Danielle Rodgers', 'Chris Romano', 'Dean Shackelford', 'Kiran Shah', 'Felix Silla', 'Linda Spriggs', 'Gerald Staddon', 'Josephine Staddon', 'Kevin Thompson', 'Kendra Wall', 'Brian Wheeler', 'Butch Wilhelm', 'Mark Dodson', 'Simon J. Williamson', 'Richard Bonehill', 'David Gonzales', 'Peter Roy', 'Erik Bauersfeld', 'Mike Quinn', 'Bill Kipsang Rotich', 'Deep Roy', 'Alisa Berk', 'Hugh Spight', 'Swee Lim', 'Richard Robinson', 'Gerald Home', 'Phil Herbert', 'Tim Dry', 'Sean Crawford', 'Phil Tippett', 'Toby Philpott', 'David Alan Barclay', 'Jasper Jacob', 'Peter Allen', 'John Altman', 'Glyn Baker', 'Dickey Beer', 'Ailsa Berk', 'Paul Brooke', 'Ben Burtt', 'Maurice Bush', 'Trevor Butterfield', 'Vivienne Chandler', 'Tony Clarkin', 'Kenneth Coombs', 'Andy Cunningham', 'Peter Diamond', 'Richard Driscoll', 'Douglas Farrell', 'Alan Flyng', 'Ernie Fosselius', 'Stuart Fox', 'Isaac Grand', 'Gordon Hann', 'Alan Harris', 'Walter Henry', 'Philip Herbert', 'Larry Holt', 'William Hoyland', 'Colin Hunt', 'Monty Jordan', 'Michael Josephs', 'Eiji Kusuhara', 'Anthony Lang', 'Arnold Lee', 'Julius LeFlore', 'John Maloney', 'Paul Markham', 'Richard Marquand', 'Hilton McRae', 'Billy J. Mitchell', 'Amanda Noar', 'Terry Sach', 'Errol Shaker', 'Guy Standeven', 'Jules Walters', 'Robert Watts', 'Paul Weston', 'Corey Dee Williams', 'Michael Stevens', 'Michael McCormick', 'David Stone', 'Lynne Hazelden', 'Paul Springer', 'Ronny Cush', 'John Cannon', 'Tina Simmons', 'Barrie Holland', 'Larry Ward']"
Locke,6,2013,false,2024-05-08,UK,IM Global,English,"['Thriller', 'Drama']",Steven Knight,"['Tom Hardy', 'Ruth Wilson', 'Andrew Scott', 'Olivia Colman', 'Tom Holland', 'Ben Daniels', 'Bill Milner', 'Alice Lowe', 'Danny Webb', 'Lee Ross', 'Silas Carson', 'Kirsty Dillon']"
The Empire Strikes Back,7,1980,false,2024-05-05,USA,Lucasfilm Ltd.,English,"['Action', 'Science Fiction', 'Adventure']",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Peter Mayhew', 'Kenny Baker', 'Frank Oz', 'Alec Guinness', 'Jeremy Bulloch', 'Jason Wingreen', 'John Hollis', 'Jack Purvis', 'Des Webb', 'Kathryn Mullen', 'Marjorie Eaton', 'Clive Revill', 'Kenneth Colley', 'Julian Glover', 'Michael Sheard', 'Michael Culver', 'John Dicks', 'Milton Johns', 'Mark Jones', 'Oliver Maguire', 'Robin Scobey', 'Bruce Boa', 'Christopher Malcolm', 'Denis Lawson', 'Richard Oldfield', 'John Morton', 'Ian Liston', 'John Ratzenberger', 'Jack McKenzie', 'Jerry Harte', 'Norman Chancer', 'Norwich Duff', 'Ray Hassett', 'Brigitte Kahn', 'Burnell Tucker', 'Bob Anderson', 'Lightning Bear', 'Richard Bonehill', 'John Cannon', 'Mark Capri', 'Martin Dew', 'Peter Diamond', 'Stuart Fell', 'Doug Robinson', 'Tony Smart', 'Alan Harris', 'James Earl Jones', 'Mac McDonald', 'Ralph McQuarrie', 'Ralph Morse', 'Terry Richards', 'Treat Williams', 'Shaun Curry', 'Alan Austen', 'Jim Dowdall', 'Tom Egeland', 'Alan Flyng', 'Trevor Butterfield', 'Mercedes Burleigh', 'Jane Busby', 'Maurice Bush', 'Tony Clarkin', 'Mike Edmonds', 'Walter Henry', 'Paul Jerricho', 'Joe Johnston', 'Steven Meek', 'Peter Roy', 'Stephanie English', 'Michael Leader', 'Egbert Sen', 'Elaine Alexander', 'Colin Hunt']"
Star Wars,7,1977,false,2024-05-05,USA,Lucasfilm Ltd.,English,"['Adventure', 'Action', 'Science Fiction']",George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'James Earl Jones', 'Phil Brown', 'Shelagh Fraser', 'Jack Purvis', 'Alex McCrindle', 'Eddie Byrne', 'Drewe Henley', 'Denis Lawson', 'Garrick Hagon', 'Jack Klaff', 'William Hootkins', 'Angus MacInnes', 'Jeremy Sinden', 'Graham Ashley', 'Don Henderson', 'Richard LeParmentier', 'Leslie Schofield', 'Michael Leader', 'David Ankrum', 'Scott Beach', 'Lightning Bear', 'Jon Berg', 'Doug Beswick', 'Paul Blake', 'Janice Burchette', 'Ted Burnett', 'John Chapman', 'Gilda Cohen', 'Tim Condren', 'Barry Copping', 'Alfie Curtis', 'Robert Davies', 'Maria De Aragon', 'Robert A. Denham', 'Frazer Diamond', 'Peter Diamond', 'Warwick Diamond', 'Sadie Eden', 'Kim Falkinburg', 'Harry Fielder', 'Ted Gagliano', 'Salo Gardner', 'Steve Gawley', 'Barry Gnome', 'Rusty Goffe', 'Isaac Grand', 'Reg Harding', 'Alan Harris', 'Frank Henson', 'Arthur Howell', 'Tommy Ilsley', 'Joe Johnston', 'Annette Jones', 'Linda Jones', 'Joe Kaye', 'Colin Michael Kitchens', 'Melissa Kurtz', 'Tiffany Hillkurtz', 'Al Lampert', 'Anthony Lang', 'Laine Liska', 'Derek Lyons', 'Mahjoub', 'Alf Mangan', 'Grant McCune', 'Geoffrey Moon', 'Mandy Morton', 'Lorne Peterson', 'Marcus Powell', 'Shane Rimmer', 'Pam Rose', 'George Roubicek', 'Erica Simmons', 'Angela Staines', 'George Stock', 'Roy Straite', 'Peter Sturgeon', 'Peter Sumner', 'John Sylla', 'Tom Sylla', 'Malcolm Tierney', 'Phil Tippett', 'Burnell Tucker', 'Morgan Upton', 'Jerry Walter', 'Hal Wamsley', 'Diana Sadley Way', 'Bill Weston', 'Fred Wood', 'Colin Higgins', 'Ron Tarr', 'Anthony Forrest', 'Frances Alfred Basil Tomlin', 'John Cannon', 'Larry Ward']"
Star Wars: Episode I – The Phantom Menace,4,1999,false,2024-05-04,USA,Lucasfilm Ltd.,English,"['Action', 'Science Fiction', 'Adventure']",George Lucas,"['Liam Neeson', 'Ewan McGregor', 'Natalie Portman', 'Jake Lloyd', 'Ian McDiarmid', 'Pernilla August', 'Oliver Ford Davies', 'Hugh Quarshie', 'Ahmed Best', 'Anthony Daniels', 'Kenny Baker', 'Frank Oz', 'Terence Stamp', 'Brian Blessed', 'Andy Secombe', 'Ray Park', 'Lewis Macleod', 'Warwick Davis', 'Steve Speirs', 'Silas Carson', 'Jerome St. John Blake', 'Alan Ruscoe', 'Ralph Brown', 'Celia Imrie', 'Benedict Taylor', 'Clarence Smith', 'Samuel L. Jackson', 'Dominic West', 'Karol Cristina da Silva', 'Liz Wilson', 'Candice Orwell', 'Sofia Coppola', 'Keira Knightley', 'Bronagh Gallagher', 'John Fensom', 'Greg Proops', 'Scott Capurro', 'Margaret Towner', 'Dhruv Chanchani', 'Oliver Walpole', 'Megan Udall', 'Hassani Shapi', 'Gin Clarke', 'Khan Bonfils', 'Michelle Taylor', 'Michaela Cottrell', ""Dipika O'Neill Joti"", 'Phil Eason', 'Mark Coulier', 'Lindsay Duncan', 'Peter Serafinowicz', 'James Taylor', 'Chris Sanders', 'Toby Longworth', 'Marc Silk', 'Danny Wagner', 'Amanda Lucas', 'Katie Lucas', 'Richard Armitage', 'Sacha Alexander', 'Simon Allen', 'Paul Bannon', 'Don Bies', 'Trisha Biggar', 'Michonne Bourriague', 'Douglas Bunn', 'Ben Burtt', 'Doug Chiang', 'Rob Coleman', 'Roman Coppola', 'Sean Cronin', 'Zsuzsanna Cseh', 'Matt Daniel-Baker', 'Russell Darling', 'Philip Delancy', 'Sebastian Dewing', 'Andrew Doucette', 'C. Michael Easton', 'Andrew Elias', 'Catherine Ernster', 'Salo Gardner', 'Andrew Gersh', 'Patrice Girod', 'Ned Gorman', 'Joss Gower', 'Raymond Griffiths', 'Nathan Hamill', 'Tim Harrington', 'Sally Hawkins', 'Jack Hayes', 'Nifa Hindes', 'Nishan Hindes', 'Frank Huseyin', 'Alexi Kaye Campbell', 'David Knight', 'John Knoll', 'Kamay Lau', 'Andrew Lawden', 'John M. Levin', 'Dan Madsen', 'Iain McCaig', 'Rick McCallum', 'João Costa Menezes', 'Taylor Murphy', 'Lorne Peterson', 'Andrew Raven', 'Steve Sansweet', 'Mike Savva', 'Chris Scarabosio', 'Jeff Shay', 'Christian Simpson', 'Paul Martin Smith', 'Scott Squires', 'Tom Sylla', 'Bill Tlusty', 'Matthew Wood', 'Jeff Olson', 'Michael Dondero', 'Scott Schumann']"
Challengers,9,2024,true,2024-04-29,Italy,Pascal Pictures,English,"['Drama', 'Romance']",Luca Guadagnino,"['Zendaya', 'Mike Faist', ""Josh O'Connor"", 'Darnell Appling', 'Bryan Doo', 'Shane T Harris', 'Nada Despotovich', 'Joan Mcshane', 'Chris Fowler', 'Mary Joe Fernández', 'A.J. Lister', 'Connor Aulson', 'Doria Bramante', 'Christine Dye', 'James Sylva', 'Kenneth A. Osherow', 'Kevin Collins', 'Burgess Byrd', 'Jason Tong', 'Hudson Rivera', 'Noah Eisenberg', 'Emma Davis', 'Naheem Garcia', 'Alex Bancila', 'Jake Jensen', 'Konrad Ryba', 'Hailey Gates', 'Andrew Rogers', 'Beverly Kristenson Helton', 'Brad Gilbert', 'Sam Xu', 'Caleb Schneider', 'Sam Arnold', 'David S. Bookbinder', 'Jack Amsler', 'Lachlan Boyle', 'Courtney Brooks', 'Dennis Daniel', 'Tierre Diaz', 'Jeffrey Ford', 'Elaine Victoria Grey', 'Jason Hewitt', 'Ian Dylan Hunt', 'Kagga Jayson', 'Lizzy Kircher', 'Bobby Leigh', 'Donna Martuge', 'Francis McGinny', 'Casey McNeal', 'Nicole Nassif', 'Patricia Pinto', 'Anne Reardon', 'Rhonda Araujo Smith', 'Juan Szilagyi', 'Annabella Valle']"
Late Night with the Devil,7,2023,false,2024-04-26,Australia,Spooky Pictures,English,['Horror'],Cameron Cairnes,"['David Dastmalchian', 'Laura Gordon', 'Ian Bliss', 'Fayssal Bazzi', 'Ingrid Torelli', 'Rhys Auteri', 'Georgina Haig', 'Josh Quong Tart', 'Steve Mouzakis', 'Paula Arundell', 'Tamala Shelton', 'Christopher Kirby', 'Gaby Seow', 'Elise Jansen', ""John O'May"", 'Clare Chihambakwe', 'Amelie Mendosa', 'Grace Cummings', 'Michael Ironside', 'Andre Switzer', 'Declan Fay', 'Milena Berhane', 'Leah Wilbraham', 'Chase Kauffman', 'Miranda Bloom', 'Mitchell Brotz', 'Caspian Dezfouli', 'Rod Lara', 'Nicole Chapman', 'Steven Kwon', 'Imaan Hadchiti', 'Farhad Zaiwala', 'Jarrad Pidoto', 'Paddy Shiels', 'Aya Cairnes', 'Gerasimos Grammenos', 'Pearl Grammenos', 'Adam Batt', 'Raoul Salter', 'Janine Lum', 'Rik Brown', 'Scarlett Varga', 'Sarah Lorey', 'Tiare Skeats', 'Anna van Guens', 'Arkie Simpson-Purdon', 'Daisy Anderson', 'Joel Anderson', 'Miles Brown', 'Scott Purdon', 'Quincy Simpson-Purdon', 'Jason Rout', 'Jeff Schwisow', 'Michael McArthur', 'Jason Marion', 'Angus Neale', 'Julia Pretto', 'John Leary', 'Déborrah Moogy Morgan']"
Challengers,10,2024,true,2024-04-26,Italy,Pascal Pictures,English,"['Drama', 'Romance']",Luca Guadagnino,"['Zendaya', 'Mike Faist', ""Josh O'Connor"", 'Darnell Appling', 'Bryan Doo', 'Shane T Harris', 'Nada Despotovich', 'Joan Mcshane', 'Chris Fowler', 'Mary Joe Fernández', 'A.J. Lister', 'Connor Aulson', 'Doria Bramante', 'Christine Dye', 'James Sylva', 'Kenneth A. Osherow', 'Kevin Collins', 'Burgess Byrd', 'Jason Tong', 'Hudson Rivera', 'Noah Eisenberg', 'Emma Davis', 'Naheem Garcia', 'Alex Bancila', 'Jake Jensen', 'Konrad Ryba', 'Hailey Gates', 'Andrew Rogers', 'Beverly Kristenson Helton', 'Brad Gilbert', 'Sam Xu', 'Caleb Schneider', 'Sam Arnold', 'David S. Bookbinder', 'Jack Amsler', 'Lachlan Boyle', 'Courtney Brooks', 'Dennis Daniel', 'Tierre Diaz', 'Jeffrey Ford', 'Elaine Victoria Grey', 'Jason Hewitt', 'Ian Dylan Hunt', 'Kagga Jayson', 'Lizzy Kircher', 'Bobby Leigh', 'Donna Martuge', 'Francis McGinny', 'Casey McNeal', 'Nicole Nassif', 'Patricia Pinto', 'Anne Reardon', 'Rhonda Araujo Smith', 'Juan Szilagyi', 'Annabella Valle']"
Monkey Man,7,2024,true,2024-04-20,Canada,Thunder Road,English,"['Thriller', 'Action']",Dev Patel,"['Dev Patel', 'Sikandar Kher', 'Pitobash', 'Adithi Kalkunte', 'Jatin Malik', 'Makrand Deshpande', 'Ashwini Kalsekar', 'Vipin Sharma', 'Sobhita Dhulipala', 'Sharlto Copley', 'Brahim Achabbakhe', 'Jomon Thomas', 'Pehan Abdul', 'Suhaimi', 'Vijay Kumar', 'Jino A. Samuel', 'Kalih Dewantoro', 'Alan Jiraiya', 'Baby Tamba', 'Abhiram Reddam', 'Harshit Mahawar', 'Winai Wiangyangkung', 'Dayangku Zyana', 'Christopher Oba Warella', 'Fahad Scale', 'Reva Marchellin', 'Teddy Khannayan', 'Renren Subramany', 'Zakir Hussain', 'Agus Mulana', 'Quraish Aattamimi', 'Joseph J.U. Taylor', 'Mathi Alagan']"
"LaRoy, Texas",6,2023,false,2024-04-18,USA,Lotus Entertainment,English,"['Comedy', 'Crime', 'Thriller']",Shane Atkinson,"['John Magaro', 'Steve Zahn', 'Galadriel Stineman', 'Matthew Del Negro', 'Bob Clendenin', 'Brad Leland', 'Dylan Baker', 'Megan Stevenson', 'Emily Pendergast', 'Alex Knight', 'Rio Alexander', 'Darcy Shean', 'Mimi Fletcher', 'Teagan Ireland', 'Vic Browder', 'Brannon Cross', 'A.J. Buckley', 'Alaina Warren Zachary', 'Versai Knight', 'Ian A. Hudson']"
