film,rating,date,liked,log_date,country,studio,primary_language,genres,director,actors
Iron Man,7,2008,true,2024-07-30,USA,Marvel Studios,English,"['Adventure', 'Science Fiction', 'Action']",Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Gwyneth Paltrow', 'Leslie Bibb', 'Shaun Toub', 'Faran Tahir', 'Clark Gregg', 'Bill Smitrovich', 'Sayed Badreya', 'Paul Bettany', 'Jon Favreau', 'Peter Billingsley', 'Tim Guinee', 'Will Lyman', 'Tom Morello', 'Marco Khan', 'Daston Kalili', 'Ido Mor', 'Kevin Foster', 'Garret Noël', 'Eileen Weisinger', 'Ahmed Ahmed', 'Fahim Fazli', 'Gerard Sanders', 'Tim Rigby', 'Russell Richardson', 'Nazanin Boniadi', 'Thomas Craig Plumer', 'Robert Berkman', 'Stacy Stas Hurst', 'Lauren Scyphers', 'Frank Nyi', 'Marvin Jordan', 'Jim Cramer', 'Donna Evans', 'Reid Harper', 'Summer Kylie Remington', 'Ava Rose Williams', 'Vladimir Kubr', 'Callie Croughwell', 'Javan Tahir', 'Sahar Bibiyan', ""Patrick O'Connell"", 'Adam Harrington', 'Meera Simhan', 'Ben Newmark', 'Ricki Lander', 'Jeannine Kaspar', 'Sarah Cahill', 'Stan Lee', 'Justin Rex', 'Zorianna Kit', 'Lana Kinnear', 'Nicole Lindeblad', 'Masha Lund', 'Gabrielle Tuite', 'Tim Griffin', 'Joshua Harto', 'Micah A. Hauptman', 'James Bethea', 'Mike Cochrane', 'Flavia Manes Rossi', 'Samuel L. Jackson', 'Kristin J. Hooper']"
Doctor Strange,6,2016,false,2024-07-29,USA,Marvel Studios,English,"['Action', 'Adventure', 'Fantasy']",Scott Derrickson,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong', 'Mads Mikkelsen', 'Tilda Swinton', 'Michael Stuhlbarg', 'Benjamin Bratt', 'Scott Adkins', 'Zara Phythian', 'Alaa Safi', 'Katrina Durden', 'Topo Wresniwiro', 'Umit Ulgen', 'Linda Louise Duan', 'Mark Anthony Brighton', 'Meera Syal', 'Amy Landecker', 'Adam Pelta-Pauls', 'Sarah Malin', 'Eben Young', 'Kobna Holdbrook-Smith', 'Elizabeth Healey', 'Guillaume Faure', 'Daniel Dow', 'Stan Lee', 'Ezra Faroque Khan', 'Kimberly Van Luin', 'Pat Kiernan', 'Raj Awasti', 'Jill Buchanan', 'Daniel Eghan', 'Juani Feliz', 'Mo Idriss', 'Tamika Katon-Donegal', 'Pezh Maan', 'Kei Miura', 'Cameron Moon', 'Emeson Nwolie', 'Clem So', 'Chris Hemsworth', 'Samantha Russell', 'Tina Simmons']"
"Paris, Texas",7,1984,false,2024-07-28,France,Road Movies,English,['Drama'],Wim Wenders,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Hunter Carson', 'Aurore Clément', 'Bernhard Wicki', 'John Lurie', 'Jeni Vici', 'Sally Norvell', 'Socorro Valdez', 'Claresie Mobley', 'Viva', 'Tom Farrell', 'Sam Berry', 'Edward Fayton', 'Justin Hogg', 'Sharon Menzel']"
Red Rocket,7,2021,false,2024-07-26,USA,FilmNation Entertainment,English,"['Comedy', 'Drama']",Sean Baker,"['Simon Rex', 'Suzanna Son', 'Bree Elrod', 'Ethan Darbone', 'Brenda Deiss', 'Judy Hill', 'Brittney Rodriguez', 'Marlon Lambert', 'Vickie Pearce', 'Bashir Abboud', 'Kevin Cavanaugh', 'Caressa Garza', 'Melary Jones', 'Najeeb Hassan', 'Leigh Ann Welch', 'Debra Johnson', 'Alex Michell', 'Curt Smith', 'Shih-Ching Tsou', 'Andrew Carter', 'Stanley Buffington', 'Daniel Gonzalez', 'Robert Gonzales', 'Zachary Kemp', 'Efrain Avendaño', 'Shawn Harper', 'David Maxwell', 'Nate Venz', 'Anthony Carvelli', 'Parker Bigham', 'Brandy Kirl', 'Dustin Hart', 'Allison Fuller', 'Dimitri Manetas', 'Roza Kastis', 'Alayna Polk', 'Karren Karagulian', 'Darinda Fuller', 'Lindsey Fuller', 'Elisa Silva', 'Gary Fuller', 'Seward B. Lott', 'Mason Shortland']"
The Florida Project,8,2017,true,2024-07-25,USA,Cre Film,English,['Drama'],Sean Baker,"['Brooklynn Prince', 'Bria Vinaite', 'Willem Dafoe', 'Christopher Rivera', 'Valeria Cotto', 'Mela Murder', 'Josie Olivo', 'Caleb Landry Jones', 'Aiden Malik', 'Edward Pagan', 'Jim R. Coleman', 'Patti Wiley', 'Jasineia Ramos', 'Rosa Medina Perez', 'Krystal Gordon', 'Bronwyn Valley', 'Kelly Fitzgerald', 'Sandy Kane', 'Andrew Romano', 'Carolina Grabova', 'Terry Allen Jones', 'Karren Karagulian', 'Sabina Friedman-Seitz', 'Troy Kohlmaier', 'Ginger Cook', 'Shih-Ching Tsou', 'Marisol Rivera', 'Carl Bradfield', 'Joop Katana', 'Giovanni Rodriguez', 'Angel Garcia', 'Latanya Ortiz', 'Sonya McCarter', 'John Sutton', 'Adina Sutton', 'Betty Jeune', 'Shail Kamini Ramcharan', 'Kit Sullivan', 'Macon Blair', 'Joanne Moreno', 'Jason Blackwater', ""Lauren O'Quinn"", 'Hannah Peterson', 'Cecilia Quinan', 'Gary B. Gross', 'Samantha Parisi']"
RIPLEY,9,2024,false,2024-07-25,Switzerland,Endemol Shine North America,English,['Drama'],Steven Zaillian,"['Andrew Scott', 'Dakota Fanning', 'Johnny Flynn']"
Tangerine,8,2015,false,2024-07-24,USA,Through Films,English,"['Comedy', 'Drama']",Sean Baker,"['Kitana Kiki Rodriguez', 'Mya Taylor', 'Karren Karagulian', ""Mickey O'Hagen"", 'Alla Tumanian', 'James Ransone', 'Luiza Nersisyan', 'Arsen Grigoryan', 'Ian Edwards', 'Scott Krinsky', 'Clu Gulager', 'Ana Foxxx', 'Chelcie Lynn', 'Shih-Ching Tsou', 'Josh Sussman', 'Julie Cummings', 'Jason Stuart', 'Richard-Lael Lillard', 'Angelique Banks', 'Andrew D. Scoggins', 'Genesis Green', 'Shanyce Nivaye', 'Linda Macon', 'Francis Lola', 'Alfred Lopez', 'Katrina Remero', 'Roxana Guirola', 'Chris Bergoch', 'Khris Dickerson', 'Davida Strothers', 'Melissa Trader', 'Anni Weisband', 'Krishne Chelliah', 'Darren Dean', 'Graham Mackie', 'Jonathan Stromberg', 'Jim Johnson', 'Henry Todd', 'Derek Leuty', 'Melissa Dingman', 'Justin Montez', 'Julie Malcolm', 'Paula Van', 'Evan Gilchrest', 'Sarah Carey', 'Kymber Allen', 'Rae L. Siskind', 'Bebe Maya', 'Holly Jane Love', 'Adam Wood', 'Mia Hurley', 'Scott Lyons', 'Katja Kassin', 'David Z. Stamp', 'John Gulager', 'Tereza Nelson', 'Ceda Margaryan', 'Gayane Avaryan', 'Aida Morales', 'James Williams', 'Stu Hopkins', 'Lazano Torres', 'Bianca Copeland', 'Tess Hunt', 'Ralph Villalobos', 'Melanie Booth', 'Helene Vitagliano', 'August Stout', 'Matthew Olson', 'Jory Goodman', 'Justin Premo', 'June Rosewood']"
Gravity,8,2013,true,2024-07-23,UK,Esperanto Filmoj,English,"['Thriller', 'Drama', 'Science Fiction']",Alfonso Cuarón,"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen', 'Phaldut Sharma', 'Amy Warren', 'Basher Savage']"
Ghost Trail,6,2024,false,2024-07-20,Belgium,Films Grand Huit,French,"['Mystery', 'Drama']",Jonathan Millet,"['Adam Bessa', 'Tawfeek Barhom', 'Julia Franz Richter', 'Hala Rajab', 'Shafiqa El Till', 'Sylvain Samson', 'Mohammad Saboor Rasooli', 'Faisal Alia', 'Mudar Ramadan', 'Pascal Cervo', 'Marie Rémond', 'Dorado Jadiba', 'Fakher Aldeen Fayad', 'Jacques Follorou', 'Janty Omat']"
MaXXXine,6,2024,false,2024-07-19,USA,A24,English,"['Crime', 'Mystery', 'Thriller']",Ti West,"['Mia Goth', 'Elizabeth Debicki', 'Moses Sumney', 'Michelle Monaghan', 'Bobby Cannavale', 'Halsey', 'Lily Collins', 'Giancarlo Esposito', 'Kevin Bacon', 'Charley Rowan McCain', 'Simon Prast', 'Deborah Geffner', 'Daniel Lench', 'Chloe Farnworth', 'Brad Swanick', 'Uli Latukefu', 'Susan Pingleton', 'Zachary Mooren', 'Ned Vaughn', 'Marcus LaVoi', 'Sophie Thatcher', 'Albert Kong', 'Toby Huss', 'Taylor Kowalski', 'Pegah Rashti', 'Larry Fessenden', 'Marlyn Ortiz', 'Alison Wonderland', 'Kristin Carey', 'Cecilia Yesuil Kim', 'Clayton Farris', 'Melissa Kaye Bontempt', 'Allen Waiserman']"
